Financial District, d, 111660, 123470, 144944, 153302
Greenwich Village, d, 111660, 123470, 144944, 153302
Chinatown, d, 46270, 42720, 159009, 164036
Chelsea, d, 85120, 103380, 134471, 159606
Midtown, m, 85120, 103380, 134471, 159606
Stuyvesant Town, m, 99630, 108000, 145044, 140575
Upper East Side, ue, 104400, 103560, 218842, 214571
Upper West Side, uw, 98410, 102130, 199843, 189827
Morningside Heights, u, 40750, 49210, 138048, 132630
central harlem, u, 38640, 46540, 126558, 140209
east harlem, u, 33430, 30380, 114525, 122434
Washington Heights, u, 45020, 45800, 205414, 227328